site_code,site_name,start_url,page_url
cceiSejong,세종창조경제혁신센터,https://ccei.creativekorea.or.kr/sejong/custom/notice_list.do?,https://ccei.creativekorea.or.kr/sejong/custom/notice_list.do?&page={next_page}
sjria,세종지역산업진흥원,https://sj.riia.or.kr/board/businessAnnouncement,JavaScript pagination
jejufc,제주영상 문화산업진흥원,https://jejufc.onlinekoreahrd.kr/studyCenter/bbs.php?boardCode=1,https://jejufc.onlinekoreahrd.kr/studyCenter/bbs.php?boardCode=1&page={next_page}
jif,(재)전북바이오융합산업진흥원,https://www.jif.re.kr/board/list.do?boardUUID=53473d307cb77a53017cb7e09b8e0003&menuUUID=53473d307cb7118c017cb71940970029,JavaScript pagination
wmit,원주의료기기테크노밸리,http://wmit.or.kr/announce/businessAnnounceList.do,JavaScript pagination
ctia,충남정보문화산업진흥원,https://www.ctia.kr/home/board/brdList.do?menu_cd=000166,JavaScript pagination
gdc,광주디자인진흥원,https://www.gdc.or.kr/board.do?S=S01&M=0401000000&b_code=0001,JavaScript pagination
ayventure,안양산업진흥원,https://www.ayventure.net/bbs/board.do?id=382&menuId=855#1,JavaScript pagination
htdream,보건의료기술종합정보시스템,https://www.htdream.kr/main/pubAmt/PubAmtList.do?searchCondition=,JavaScript pagination
kidp,한국디자인진흥원,https://kidp.or.kr/?menuno=1202,JavaScript pagination
kicox,한국산업단지공단,https://www.kicox.or.kr/user/bbs/BD_selectBbsList.do?q_bbsCode=1016,JavaScript pagination
cceiGyeongbuk,경북창조경제혁신센터,https://ccei.creativekorea.or.kr/gyeongbuk/custom/notice_list.do?,https://ccei.creativekorea.or.kr/gyeongbuk/custom/notice_list.do?&page={next_page}
kitech,한국생산기술연구원,https://www.kitech.re.kr/research/page1-1.php,JavaScript pagination
cceiGwangju,광주창조경제혁신센터,https://ccei.creativekorea.or.kr/gwangju/custom/notice_list.do?,https://ccei.creativekorea.or.kr/gwangju/custom/notice_list.do?&page={next_page}
uepa,울산경제일자리진흥원,https://www.ubpi.or.kr/sub/?mcode=0403010000,JavaScript pagination
cceiChungnam,충남창조경제혁신센터,https://ccei.creativekorea.or.kr/chungnam/custom/notice_list.do?&sPtime=all&page=1,https://ccei.creativekorea.or.kr/chungnam/custom/notice_list.do?&sPtime=all&page={next_page}
kimst,해양수산과학기술진흥원,https://www.kimst.re.kr/u/news/inform_01/pjtAnuc.do,JavaScript pagination
atcenter,한국농수산식품유통공사,https://www.at.or.kr/article/apko364000/list.action,JavaScript pagination
cceiUlsan,울산창조경제혁신센터,https://ccei.creativekorea.or.kr/ulsan/custom/notice_list.do?,https://ccei.creativekorea.or.kr/ulsan/custom/notice_list.do?&page={next_page}
gipa,고양산업진흥원,https://www.gipa.or.kr/apply/01.php?cate=1,https://www.gipa.or.kr/apply/01.php?cate=1&page={next_page}
jica,전주정보문화산업진흥원,https://www.jica.or.kr/2025/inner.php?sMenu=A1000,https://www.jica.or.kr/2025/inner.php?sMenu=A1000&page={next_page}
smc,재단법인서울경제진흥원 글로벌마케팅센터,https://smc.sba.kr/Pages/Information/Notice.aspx,JavaScript pagination
cceiIncheon,인천창조경제혁신센터,https://ccei.creativekorea.or.kr/incheon/custom/notice_list.do?,https://ccei.creativekorea.or.kr/incheon/custom/notice_list.do?&page={next_page}
